testscr,str,el_pct,income,income2
690.8,17.88991,0,22.69,514.8361
661.2,21.52466,4.583333,9.824,96.510976
643.6,18.69723,30,8.978,80.604484
647.7,17.35714,0,8.978,80.604484
640.85,18.67133,13.85768,9.080333,82.45244739
605.55,21.40625,12.40876,10.415,108.472225
606.75,19.5,68.71795,6.577,43.256929
609,20.89412,46.95946,8.174,66.814276
612.5,19.94737,30.07916,7.385,54.538225
612.65,20.80556,40.27592,11.61333,134.8694337
615.75,21.23809,52.9148,8.931,79.762761
616.3,21,54.60993,7.385,54.538225
616.3,20.6,42.71844,5.335,28.462225
616.3,20.00822,20.53388,8.279,68.541841
616.45,18.02778,80.12326,9.63,92.7369
617.35,20.25196,49.41314,7.454,55.562116
618.05,16.97787,85.53972,6.216,38.638656
618.3,16.5098,58.90736,7.764,60.279696
619.8,22.70402,77.00581,7.022,49.308484
620.3,19.91111,49.81399,5.699,32.478601
620.5,18.33333,40.68182,7.941,63.059481
621.4,22.61905,16.21053,9.63,92.7369
621.75,19.44828,45.07486,7.405,54.834025
622.05,25.05263,39.07563,9.63,92.7369
622.6,20.67544,76.66525,8.019,64.304361
623.1,18.68235,40.49118,8.523,72.641529
623.2,22.84553,73.72023,7.983181,63.73117888
623.45,19.26667,70.01154,7.305,53.363025
623.6,19.25,55.96222,8.934,79.816356
624.15,20.54545,11.06195,8.554,73.170916
624.55,20.60697,80.42009,6.613,43.731769
624.95,21.07268,63.13036,12.409,153.983281
625.3,21.53581,65.12186,8.126616,66.04188761
625.85,19.904,53.4164,11.431,130.667761
626.1,21.19407,49.82307,11.72223,137.4106762
626.8,21.86535,35.46537,11.3325,128.4255563
626.9,18.32965,56.12553,9.598,92.121604
627.1,16.22857,32.39437,14.558,211.935364
627.25,19.17857,65.5121,22.06,486.6436
627.3,20.27737,53.05544,9.709,94.264681
628.25,22.98614,49.64253,11.48294,131.857911
628.4,20.44444,45.1087,8.178,66.879684
628.55,19.82085,30.32046,8.174,66.814276
628.65,23.20522,52.24313,7.5,56.25
628.75,19.26697,36.80132,10.0505,101.0125503
629.8,23.30189,30.2834,7.332,53.758224
630.35,21.18829,49.86457,12.58158,158.2961553
630.4,20.8718,13.75921,15.177,230.341329
630.55,19.01749,28.8637,12.10913,146.6310294
630.55,21.91938,52.80479,11.785,138.886225
631.05,20.10124,44.08506,14.062,197.739844
631.4,21.47651,35.25,10.472,109.662784
631.85,20.06579,37.49446,13.40512,179.6972422
631.9,20.3751,50.39059,12.3018,151.3342832
631.95,22.44648,31.07258,15.40407,237.2853726
632,22.89524,18.26123,13.762,189.392644
632.2,20.49797,34.70021,14.184,201.185856
632.25,20,33.28895,8.865,78.588225
632.45,22.25658,33.48771,12.997,168.922009
632.85,21.56436,38.15875,11.592,134.374464
632.95,19.47737,36.92946,8.279,68.541841
633.05,17.67002,32.98949,10.90564,118.9329838
633.15,21.94756,58.21666,13.40063,179.5768844
633.65,21.78339,17.00365,11.081,122.788561
633.9,19.14,17.65935,9.082,82.482724
634,18.1105,7.321537,13.39,179.2921
634.05,20.68242,31.19816,14.60163,213.2075987
634.1,22.62361,16.61744,11.116,123.565456
634.1,21.7865,58.08104,8.423,70.946929
634.15,18.58293,55.89254,11.665,136.072225
634.2,21.54545,5.485232,7.305,53.363025
634.4,21.15289,14.42919,13.7306,188.5293764
634.55,16.63333,22.84569,11.116,123.565456
634.7,21.14438,38.78334,10.36443,107.4214092
634.9,19.78182,64.24632,6.983,48.762289
634.95,18.98373,25.22556,14.4678,209.3172368
635.05,17.66767,5.382436,14.653,214.710409
635.2,17.75499,6.079028,10.629,112.975641
635.45,15.27273,0,9.781,95.667961
635.6,14,0,10.656,113.550336
635.6,20.59613,34.88918,11.938,142.515844
635.75,16.31169,13.05732,7.385,54.538225
635.95,21.12796,36.02512,10.676,113.976976
636.1,17.48801,34.65347,9.972,99.440784
636.5,17.88679,28.69198,8.258,68.194564
636.6,19.30676,1.795332,8.896,79.138816
636.7,20.89231,30.63329,12.062,145.491844
636.9,21.28684,59.03345,9.428895,88.90406092
636.95,20.1956,13.55932,8.920333,79.57234083
637,24.95,5.01002,10.098,101.969604
637.1,18.13043,0.9592326,11.83,139.9489
637.35,20,0.6666667,11.553,133.471809
637.65,18.72951,38.51204,19.707,388.365849
637.95,18.25,0,7.105,50.481025
637.95,18.99257,17.17391,13.725,188.375625
638,19.88764,9.887006,10.098,101.969604
638.2,19.37895,19.39164,13.762,189.392644
638.3,20.46259,36.48936,9.665,93.412225
638.3,22.29157,39.4,10.264,105.349696
638.35,20.70474,28.67762,11.5692,133.8463886
638.55,19.06005,13.69863,7.405,54.834025
638.7,20.23247,11.34984,12.077,145.853929
639.25,19.69012,3.442623,11.283,127.306089
639.3,20.36254,15.43027,10.035,100.701225
639.35,19.75422,17.97378,8.384,70.291456
639.5,19.37977,22.71773,13.63,185.7769
639.75,22.92351,18.43624,14.12767,199.5910596
639.8,19.3734,16.17171,11.26612,126.9254599
639.85,19.15516,2.022129,13.39,179.2921
639.9,21.3,9.624413,11.938,142.515844
640.1,18.30357,41.46341,8.258,68.194564
640.15,21.07926,9.899035,14.22673,202.3998465
640.5,18.79121,16.08187,10.472,109.662784
640.75,19.62662,43.49494,14.2429,202.8602004
640.9,19.59016,8.786611,14.066,197.852356
641.1,20.87187,39.02439,15.968,254.977024
641.45,21.115,53.8903,10.264,105.349696
641.45,20.08452,41.13329,10.60247,112.4123701
641.55,19.91049,1.383285,10.523,110.733529
641.8,17.81285,35.44304,11.238,126.292644
642.2,18.13333,8.639706,10.056,101.123136
642.2,19.22221,15.34977,11.183,125.059489
642.4,18.66072,19.85646,7.385,54.538225
642.75,19.6,3.061224,13.579,184.389241
643.05,19.28384,9.873188,9.63,92.7369
643.2,22.81818,16.09562,15.274,233.295076
643.25,18.80922,43.49898,14.03425,196.9601731
643.4,21.37363,45.03795,10.23967,104.8508417
643.4,20.02041,18.19572,9.485,89.965225
643.5,21.49862,15.48769,15.02987,225.8969922
643.5,15.42857,0.9259259,9.781,95.667961
643.7,22.4,7.589286,13.192,174.028864
643.7,20.12709,29.08584,12.216,149.230656
644.2,19.03798,0.1329787,14.076,198.133776
644.2,17.34216,50.85763,25.48733,649.6039905
644.4,17.01863,11.49635,14.867,221.027689
644.45,20.8,13.46154,9.972,99.440784
644.45,21.15385,4.727273,14.578,212.518084
644.5,18.45833,21.44469,7.385,54.538225
644.55,19.14082,12.35368,12.343,152.349649
644.7,19.40766,30.14888,12.43133,154.5379656
644.95,19.56896,15.85903,14.906,222.188836
645.1,21.5012,43.75,12.6699,160.526366
645.25,17.52941,0,10.333,106.770889
645.55,16.43017,0,11.972,143.328784
645.55,19.79654,16.65221,12.827,164.531929
645.6,17.18613,3.220339,10.04,100.8016
645.75,17.61589,0,13.335,177.822225
645.75,20.12537,48.52459,9.854,97.101316
646,22.16667,0.7518797,11.426,130.553476
646.2,19.96154,1.926782,15.131,228.947161
646.35,19.03945,13.51351,14.578,212.518084
646.4,15.22436,0,10.268,105.431824
646.5,21.14475,16.71461,15.59286,243.137283
646.55,19.6439,5.943536,11.238,126.292644
646.7,21.04869,36.17438,15.05138,226.5440399
646.9,20.17544,44.97187,15.41318,237.5661177
646.95,21.3913,16.66667,11.081,122.788561
647.05,20.00833,15.18724,10.098,101.969604
647.25,20.29137,34.3378,14.2983,204.4413829
647.3,17.66667,0,11.803,139.310809
647.6,18.22055,13.0674,9.972,99.440784
647.6,20.271,4.278075,15.409,237.437281
648,20.19895,39.59463,15.2938,233.9003184
648.2,21.38424,21.66837,15.53293,241.2719144
648.25,20.97368,3.262233,16.293,265.461849
648.35,20,7.857143,12.875,165.765625
648.7,17.15328,39.57447,16.623,276.324129
648.95,22.34977,10.1278,12.54988,157.499488
649.15,22.17007,27.52179,14.25857,203.3068184
649.3,18.18182,14,18.326,335.842276
649.5,18.95714,8.842,12.74914,162.5405707
649.7,19.74533,6.405847,11.426,130.553476
649.85,16.42623,2.39521,8.83,77.9689
650.45,16.6254,5.957447,11.176,124.902976
650.55,16.38177,8.173913,14.228,202.435984
650.6,20.07416,15.45894,15.027,225.810729
650.65,17.99544,0,10.521,110.691441
650.9,19.3913,0,18.626,346.927876
650.9,16.42857,0,22.529,507.555841
651.15,16.72949,31.82458,18.29839,334.8310766
651.2,24.41345,12.80092,11.88575,141.2710531
651.35,18.26415,0,9.926,98.525476
651.4,18.95504,3.846154,14.197,201.554809
651.45,21.03896,2.469136,9.63,92.7369
651.8,20.74074,10.71429,10.639,113.188321
651.85,18.1,0,14.475,209.525625
651.9,19.84615,1.937984,13.467,181.360089
652,21.6,4.62963,9.665,93.412225
652.1,22.44242,5.250597,12.708,161.493264
652.1,23.01438,27.54038,17.823,317.659329
652.3,17.74892,14.98258,17.156,294.328336
652.3,18.28664,47.87938,19.58964,383.7539953
652.35,19.26544,0,14.197,201.554809
652.4,22.66667,1.764706,11.912,141.895744
652.4,19.29412,0,13.386,179.184996
652.5,17.36364,0,11.554,133.494916
652.85,19.82143,7.289107,19.026,361.988676
653.1,20.43378,17.028,16.407,269.189649
653.4,21.03721,10.43555,14.058,197.627364
653.5,19.92462,2.269861,19.068,363.588624
653.55,19.00986,28.24791,20.77,431.3929
653.55,23.82222,8.768657,10.264,105.349696
653.7,19.36909,7.491857,14.578,212.518084
653.8,19.82857,9.798271,10.202,104.080804
653.85,15.25885,12.5,12.502,156.300004
653.95,17.16129,0,13.906,193.376836
654.1,21.81333,31.20415,9.986,99.720196
654.2,19.07471,1.369193,13.712,188.018944
654.2,25.78512,9.615385,10.098,101.969604
654.3,18.21261,0,11.291,127.486681
654.6,18.16606,24.25729,13.225,174.900625
654.85,16.97297,9.55414,13.63,185.7769
654.85,21.50087,5.925324,14.623,213.832129
654.9,20.6,0.9708738,8.776,77.018176
655.05,16.99029,18.28571,10.338,106.874244
655.05,20.77954,4.984349,16.323,266.440329
655.05,15.51247,4.285715,10.65633,113.5573691
655.2,19.88506,3.352601,14.578,212.518084
655.3,21.39882,32.7075,18.6306,347.0992564
655.35,20.49751,9.46602,11.116,123.565456
655.35,19.36376,6.260787,14.59767,213.0919694
655.4,17.65957,13.25301,15.493,240.033049
655.55,21.01796,3.169135,16.272,264.777984
655.7,19.05565,16.99115,13.63,185.7769
655.8,22.53846,0.8532423,12.394,153.611236
655.85,21.10787,6.649566,15.331,235.039561
656.4,20.05135,0.1164144,12.666,160.427556
656.5,14.20176,0,13.712,188.018944
656.55,18.47687,6.933744,17.78033,316.1401349
656.65,18.63542,9.558413,10.55667,111.4432815
656.7,20.94595,0.9032258,10.523,110.733529
656.8,21.08548,1.158301,13.243,175.377049
656.8,18.69288,40.10802,22.473,505.035729
657,20.86808,16.66321,15.68465,246.0082456
657,19.82558,21.95536,23.48375,551.4865141
657.15,19.75,8.86076,11.649,135.699201
657.4,19.5,0.8547009,16.356,267.518736
657.5,18.3908,0,14.074,198.077476
657.55,18.78676,3.913894,13.437,180.552969
657.65,19.77018,11.94946,18.338,336.282244
657.75,19.33333,3.99274,11.426,130.553476
657.8,21.46392,22.93948,15.74992,248.05998
657.9,23.08492,2.48563,15.779,248.976841
658,21.06299,9.871495,14.062,197.739844
658.35,18.68687,0.5405406,12.174,148.206276
658.6,20.77024,8.956632,12.9,166.41
658.8,19.30556,6.47482,10.971,120.362841
659.05,20.1328,20.72543,17.4352,303.986199
659.15,20.66964,0.1872659,14.76,217.8576
659.35,22.28155,13.98693,14.603,213.247609
659.4,20.60027,8.741721,13.52233,182.8534086
659.4,20.82734,20.03454,16.669,277.855561
659.8,19.22492,1.383399,13.52225,182.8512451
659.9,17.65477,2.062706,12.518,156.700324
660.05,17,28.57143,18.326,335.842276
660.1,16.49773,0.1694915,11.466,131.469156
660.2,19.78261,13.73626,10.098,101.969604
660.3,22.30216,0,15.365,236.083225
660.75,17.73077,0.2169197,10.31133,106.3235264
