year,female,earnings,male
1992,0,12.99912,1
1992,0,11.61796,1
1992,0,17.37729,1
1992,1,10.06127,0
1992,0,16.75668,1
1992,1,9.216171,0
1992,1,15.95874,0
1992,0,27.36924,1
1992,0,10.63916,1
1992,0,6.981948,1
1992,1,5.920692,0
1992,1,14.09222,0
1992,0,14.49381,1
1992,1,16.91823,0
1992,0,20.21972,1
1992,0,9.79621,1
1992,1,12.51165,0
1992,0,16.75109,1
1992,0,17.87379,1
1992,0,15.63956,1
1992,1,19.85976,0
1992,1,7.261226,0
1992,1,14.54843,0
1992,1,15.88781,0
1992,0,16.59709,1
1992,0,26.08065,1
1992,0,20.97688,1
1992,0,26.81068,1
1992,0,43.19498,1
1992,1,21.78368,0
1992,0,22.34224,1
1992,0,14.23431,1
1992,1,19.54946,0
1992,0,20.97688,1
1992,1,26.25212,0
1992,0,8.378338,1
1992,0,25.13501,1
1992,0,10.22157,1
1992,0,20.10801,1
1992,0,37.42324,1
1992,0,13.9639,1
1992,0,18.43234,1
1992,1,7.819782,0
1992,1,11.17112,0
1992,0,20.66657,1
1992,0,20.10801,1
1992,0,18.59041,1
1992,1,16.59709,0
1992,0,12.28823,1
1992,0,5.576622,1
1992,0,10.16572,1
1992,0,16.59333,1
1992,0,12.28823,1
1992,0,8.564523,1
1992,1,12.84678,0
1992,1,13.90183,0
1992,0,21.84574,1
1992,0,14.29903,1
1992,1,8.378338,0
1992,1,13.9639,0
1992,0,41.89169,1
1992,1,5.585559,0
1992,0,16.01193,1
1992,0,19.54946,1
1992,0,18.9909,1
1992,0,19.54946,1
1992,1,15.08101,0
1992,1,15.63956,0
1992,0,9.309264,1
1992,0,7.819782,1
1992,0,16.5829,1
1992,1,22.34224,0
1992,0,12.06481,1
1992,1,18.9909,0
1992,0,21.89539,1
1992,0,30.99985,1
1992,1,27.92779,0
1992,1,13.40534,0
1992,1,8.132573,0
1992,0,9.830583,1
1992,0,15.74234,1
1992,0,33.51335,1
1992,1,10.96801,0
1992,0,16.53325,1
1992,0,10.42638,1
1992,1,14.87099,0
1992,1,12.84678,0
1992,1,13.9639,0
1992,0,29.78964,1
1992,0,4.149272,1
1992,0,16.75668,1
1992,1,24.0179,0
1992,0,8.936893,1
1992,0,17.42694,1
1992,0,34.75459,1
1992,1,18.43234,0
1992,0,28.15121,1
1992,1,17.87379,0
1992,1,11.17112,0
1992,0,18.76748,1
1992,0,18.86678,1
1992,0,30.78263,1
1992,1,16.75668,0
1992,0,17.87379,1
1992,0,48.0358,1
1992,1,13.9639,0
1992,1,12.90885,0
1992,0,12.28823,1
1992,0,16.75668,1
1992,1,17.87379,0
1992,1,17.37729,0
1992,1,27.92779,0
1992,0,17.87379,1
1992,1,13.40534,0
1992,0,29.0449,1
1992,1,12.41235,0
1992,1,13.40534,0
1992,0,17.87379,1
1992,0,16.2489,1
1992,0,13.9639,1
1992,1,16.75668,0
1992,0,14.02273,1
1992,1,13.77771,0
1992,0,20.10801,1
1992,1,11.96905,0
1992,1,5.594049,0
1992,1,14.89482,0
1992,1,11.61796,0
1992,0,29.0449,1
1992,0,25.13501,1
1992,0,8.936893,1
1992,0,27.92779,1
1992,1,15.08101,0
1992,1,13.40534,0
1992,0,22.34224,1
1992,1,18.76748,0
1992,0,15.84268,1
1992,0,12.41235,1
1992,1,15.08101,0
1992,0,10.01062,1
1992,0,41.89169,1
1992,1,13.18192,0
1992,0,20.66657,1
1992,1,17.37729,0
1992,1,17.30219,0
1992,0,11.61796,1
1992,1,11.17112,0
1992,1,11.73637,0
1992,0,19.4936,1
1992,1,12.56751,0
1992,1,16.75668,0
1992,1,14.52245,0
1992,0,16.53325,1
1992,0,13.40534,1
1992,0,21.22512,1
1992,0,6.834095,1
1992,1,13.9639,0
1992,1,18.43234,0
1992,0,40.21602,1
1992,0,22.34224,1
1992,0,29.24802,1
1992,0,17.31523,1
1992,0,22.90079,1
1992,0,23.45935,1
1992,1,21.27832,0
1992,1,19.62145,0
1992,0,10.72427,1
1992,1,23.45935,0
1992,0,8.378338,1
1992,0,16.75668,1
1992,1,12.56751,0
1992,0,19.54946,1
1992,0,14.04369,1
1992,1,11.17112,0
1992,1,14.36885,0
1992,0,11.72967,1
1992,1,13.9639,0
1992,0,17.37729,1
1992,1,12.51165,0
1992,1,21.78368,0
1992,1,19.54946,0
1992,0,14.74587,1
1992,0,14.62401,1
1992,1,16.75668,0
1992,1,16.75668,0
1992,0,11.43091,1
1992,1,13.68462,0
1992,1,13.03297,0
1992,0,17.61599,1
1992,0,24.0179,1
1992,0,9.882142,1
1992,0,13.40534,1
1992,0,21.22512,1
1992,1,29.0449,0
1992,1,16.75668,0
1992,0,14.52245,1
1992,0,9.575243,1
1992,0,16.75668,1
1992,1,16.75668,0
1992,1,17.87379,0
1992,1,20.10801,0
1992,0,12.51165,1
1992,0,22.34224,1
1992,0,28.65392,1
1992,1,18.76748,0
1992,0,16.75668,1
1992,1,25.13501,0
1992,1,11.84138,0
1992,0,20.66657,1
1992,0,27.36924,1
1992,1,10.58316,0
1992,1,23.61893,0
1992,1,15.63956,0
1992,1,11.17112,0
1992,1,15.39132,0
1992,0,15.63956,1
1992,1,24.28973,0
1992,0,22.34224,1
1992,0,17.87379,1
1992,0,7.149515,1
1992,0,13.9639,1
1992,1,15.95874,0
1992,0,17.08883,1
1992,0,11.17112,1
1992,1,20.42719,0
1992,1,15.63956,0
1992,1,9.929882,0
1992,0,11.17112,1
1992,1,15.73266,0
1992,0,16.75668,1
1992,1,36.30613,0
1992,0,27.25752,1
1992,1,23.45935,0
1992,0,9.473106,1
1992,1,27.30717,0
1992,0,11.61796,1
1992,1,17.87379,0
1992,1,18.32063,0
1992,1,14.52245,0
1992,1,16.19812,0
1992,1,9.774728,0
1992,0,27.92779,1
1992,0,21.22512,1
1992,1,22.34224,0
1992,0,23.23592,1
1992,1,22.34224,0
1992,0,15.08101,1
1992,1,12.84678,0
1992,1,3.699874,0
1992,0,17.87379,1
1992,1,17.31523,0
1992,1,10.19119,0
1992,1,15.68425,0
1992,1,28.72573,0
1992,0,14.52245,1
1992,0,12.10204,1
1992,1,14.68204,0
1992,0,16.19812,1
1992,0,16.75668,1
1992,0,11.41936,1
1992,0,38.52895,1
1992,0,16.19812,1
1992,1,15.08101,0
1992,1,20.10801,0
1992,1,21.22512,0
1992,0,25.51438,1
1992,1,18.72558,0
