HrsWork,Educ,Earnings ,Race,Gender
50,18,1.5,White,Female
40,18,3.6,White,Female
39,18,6.5,White,Male
65,18,7,White,Male
45,18,8,White,Female
40,18,9,White,Female
40,18,9.5,White,Male
45,18,10,White,Male
38,18,10,White,Male
70,18,10,AsianPI,Male
0,18,10,White,Male
60,18,12,White,Male
40,18,13,White,Male
40,18,13.318,White,Female
46,18,13.84,White,Female
40,18,15,White,Female
0,18,15,AsianPI,Female
50,18,15.5,White,Male
40,18,15.916,White,Male
45,18,16,White,Male
40,18,16,AsianPI,Male
38,18,17.6,White,Female
40,18,17.603,White,Male
40,18,18,White,Female
70,18,18,White,Female
40,18,18,White,Female
50,18,18,White,Female
40,18,18.77,White,Male
48,18,19.963,White,Male
40,18,20,Black,Male
40,18,20,White,Female
40,18,20,White,Female
80,18,20,White,Female
50,18,20.7,White,Female
60,18,21,White,Male
55,18,21.253,White,Male
48,18,22,White,Male
50,18,22,White,Female
40,18,22,White,Female
40,18,22.713,White,Female
40,18,23,White,Female
40,18,23,White,Female
45,18,23,White,Female
40,18,23,White,Female
55,18,24,Black,Male
55,18,25,White,Female
50,18,25,White,Female
40,18,25,White,Female
40,18,25,White,Female
50,18,25,Black,Female
40,18,25,Black,Female
40,18,26,AsianPI,Female
40,18,26,White,Female
50,18,26.439,White,Female
40,18,27,White,Female
40,18,27,White,Female
40,18,27,White,Female
40,18,27,White,Female
40,18,27.085,White,Male
40,18,27.5,White,Female
43,18,28,White,Male
40,18,28,White,Female
0,18,28,White,Female
40,18,28,White,Female
50,18,28.8,White,Female
40,18,28.8,White,Female
40,18,28.8,White,Female
40,18,29.12,White,Female
45,18,29.19,White,Male
40,18,29.53,White,Female
40,18,30,White,Female
40,18,30,White,Male
0,18,30,White,Male
40,18,30,White,Female
40,18,30,White,Male
0,18,30,White,Male
50,18,30,White,Male
40,18,30,White,Male
40,18,30,White,Male
40,18,30,White,Male
40,18,30,Black,Female
75,18,30,White,Female
40,18,30.264,White,Female
40,18,31,AsianPI,Female
40,18,31,White,Female
40,18,32,White,Female
48,18,32,White,Female
40,18,32,White,Male
70,18,32,White,Male
50,18,32,White,Male
50,18,33,White,Female
45,18,33,White,Female
60,18,33.2,White,Male
40,18,34,White,Male
40,18,34,White,Female
40,18,34,White,Male
45,18,34.2,White,Male
40,18,34.373,White,Male
40,18,34.4,AsianPI,Female
40,18,34.4,Black,Female
40,18,34.5,White,Male
