personid,treatment,ordertaker,type,quitjob,age,costofcommute,children,male,married,perform_prior,perform_post,prior_experience,tenure,basewage,bonus,grosswage,ageyoungestchild,rental,bedroom,second_technical,high_school,tertiary_technical,university,internet,phonecalls_prior,phonecalls_post
3906,1,FALSE,2,0,33,8,1,0,1,0.084573008,0.308620393,84,96,1883.333374,713.444458,2737.546631,10,0,1,0,1,0,0,1,0,0
4122,1,TRUE,1,0,30,18,0,0,0,4.50E-04,0.700559437,0,94,1700,2097.222168,4096.245605,0,0,0,0,1,0,0,1,21.335,21.797
4448,0,FALSE,2,0,35,10,1,0,1,0.45590964,0.488661557,0,92,1750,2153.333252,4269.296387,11,0,1,0,1,0,0,1,0,0
4942,1,FALSE,4,0,27,20,0,0,1,0.918509781,-0.275367051,0,82,1900,3043,5295.395508,0,0,1,1,0,0,0,1,0,0
5018,1,FALSE,4,0,29,15,1,0,1,-0.377443492,-0.606368423,0,82,2138.888916,464.3333435,1387.589966,0,0,1,1,0,0,0,1,0,0
5614,1,FALSE,5,0,32,0,0,1,1,0.369980305,0.404641986,0,79,1700,1273.555542,3826.008789,0,0,1,0,1,0,0,1,0,0
6278,0,TRUE,1,1,32,12,1,0,1,-0.040052831,-0.097440563,43,77,1700,861,2918.788818,5,0,1,0,0,1,0,1,11.701,8.729
6362,0,FALSE,4,0,29,12,1,0,1,0.655318975,-0.62006259,24,82,1850,2732.666748,4894.708008,3,0,1,1,0,0,0,1,0,0
6364,0,FALSE,4,0,26,12,1,0,1,1.409042358,-0.170282349,0,82,1900,3965.888916,6220.745605,2,0,1,1,0,0,0,1,0,0
7068,0,FALSE,4,0,28,0,0,0,1,0.270698756,-0.998853922,0,72,1950,1983.222168,4341.824219,0,1,1,0,0,1,0,1,0,0
7076,0,FALSE,3,0,30,0,1,0,1,0.001532828,0.27479738,24,72,2100,465.555542,2664.149902,11,0,1,0,0,1,0,1,0,0
7488,1,FALSE,2,0,25,18,0,0,0,0.450983047,1.25516963,0,70,1800,1141.222168,3072.208984,0,0,1,1,0,0,0,1,0,0
7720,0,TRUE,1,0,25,9,0,0,0,-0.687097669,-0.454668403,0,70,1750,821.444458,3048.387695,0,0,1,0,0,1,0,1,10.587,9.549
8522,0,FALSE,2,0,30,6,1,0,1,0.23950015,0.068389967,36,66,1733.333374,1993.333374,4192.242188,5,0,1,1,0,0,0,1,0,0
8834,0,TRUE,1,0,22,0,0,0,0,0.320678741,0.825318336,0,66,1750,1400.666626,3642.716553,0,1,0,1,0,0,0,1,24.719,21.238
8854,1,TRUE,1,0,22,4,0,0,0,0.650779307,0.937225103,0,66,1700,2282.555664,4259.26123,0,1,1,1,0,0,0,1,25.527,24.094
8980,1,FALSE,2,0,25,10,0,0,0,-0.031765454,-0.86313951,0,65,1650,306.1111145,1973.42334,0,0,1,1,0,0,0,1,0,0
9710,0,FALSE,3,0,33,10,0,0,1,-0.718863904,-0.085908629,60,64,1783.333374,1637.888916,3902.926758,0,0,1,0,1,0,0,1,0,0
10098,0,TRUE,1,1,28,12,1,0,1,0.076348521,-0.814304471,0,63,2350,1739.444458,4315.203613,8,0,1,0,0,1,0,1,21.634,0.582
10226,1,FALSE,5,0,22,0,0,0,0,-0.258199155,-0.207402959,0,62,1650,784.111084,3334.322266,0,1,0,1,0,0,0,1,0,0
10356,1,TRUE,1,0,27,0,0,1,0,0.248656303,0.155166849,6,62,1650,1256.666626,3796.717773,0,1,1,0,0,1,0,1,24.479,17.85
10794,1,FALSE,2,0,32,5,1,0,1,1.037645459,1.098544717,0,60,1750,2083.666748,4169.194336,7,0,1,0,1,0,0,1,0,0
10822,1,FALSE,2,0,26,4,0,0,1,0.609065831,1.271261692,24,60,1600,1073,2996.27002,0,0,1,0,1,0,0,1,0,0
11348,0,FALSE,4,0,25,8,1,0,1,-0.845071018,-0.886780202,6,59,1600,961.777771,2752.517822,2,0,1,1,0,0,0,1,0,0
11390,0,FALSE,2,0,31,25,0,1,1,0.876527071,0.565915406,26,59,1700,2750.444336,4771.54541,0,0,1,0,1,0,0,1,0,0
11868,1,FALSE,4,0,30,10,0,1,0,0.159845948,-0.478634298,60,57,1650,918.333313,2767.91333,0,0,1,0,0,1,0,1,0,0
12306,0,FALSE,2,0,24,14,0,1,0,-0.89031291,-0.913324177,0,56,1650,1200,3494.944336,0,0,1,1,0,0,0,1,0,0
