hotel_id,price,distance,rating,scarce_room,stars,num_reviews
21897,81,1.7,3.9,0,4,189
21901,85,1.4,3.7,0,4,53
21902,83,1.7,4,0,3,55
21903,82,1.2,3.9,1,4,33
21906,103,0.9,3.9,1,4,57
21907,150,1,4.6,0,4,161
21912,60,1.1,4.1,1,4,203
21913,128,0.8,4,0,4,251
21917,85,1.7,4.1,0,4,18
21918,77,0.9,3.7,0,3,20
21919,78,0.8,3.9,1,3,77
21920,78,0.9,4,1,3,76
21924,77,4.2,3.9,1,3,77
21925,77,3.9,2.7,0,3,193
21926,95,3.6,4.3,0,4,94
21930,208,2.9,4.1,1,4,178
21933,87,3.4,3.7,1,3,330
21935,54,2,3.5,0,3,194
21940,99,1.7,4.4,0,3.5,441
21941,75,1.7,4.4,0,3.5,1122
21943,76,2.1,4.4,0,3,362
21946,91,1.9,4.5,0,4,525
21959,71,1.7,4,0,4,821
21965,113,0.2,4.4,0,3,77
21968,156,0.3,4.5,1,3,184
21970,133,0.3,4.3,1,4,319
21971,123,0.5,4.1,1,4,73
21972,219,0.3,4.5,1,4,81
21973,152,0.3,4.3,0,4,271
21975,115,0.1,4.3,1,4,211
21977,138,0.2,4.5,0,4,316
21980,146,0.1,4.4,0,4,336
21984,98,0.5,3.7,1,3,88
21985,121,0.3,4.5,1,3.5,140
21986,149,0.2,4,0,4,391
21987,120,0.3,3.9,0,3,320
21988,157,0.4,4.4,1,3,21
21995,112,0.2,4,0,4,505
21996,138,0.3,4.3,0,4,386
22009,158,0.3,4.3,1,3,47
22011,218,0.2,4.6,1,4,124
22012,218,0.1,4.5,0,4,115
22013,135,0.3,3.9,0,3,110
22016,179,0.5,4.4,1,4,467
22018,157,0.7,4.5,0,4,650
22019,146,0.3,4.5,1,4,95
22021,157,0.1,4.1,1,4,168
22023,108,0.3,3.5,1,3,175
22026,127,0.8,4,0,4,426
22028,163,0.4,4.1,1,4,148
22031,231,0.1,4.4,0,4,56
22032,116,0.4,4.4,1,4,247
22037,166,0.6,4.3,1,4,703
22042,169,0.3,4.5,1,4,81
22050,242,0.05,4.8,0,4,404
22051,223,0.5,3.5,1,4,123
22052,149,0.3,4.4,1,4,653
22054,114,0.5,4,0,4,388
22061,139,0.2,3.5,1,4,34
22064,79,1.4,3.5,1,3,102
22071,110,0.9,4.1,0,3,354
22072,88,0.9,4.4,1,3,92
22075,59,1.6,3.9,1,3,128
22076,119,0.9,4,0,4,530
22077,152,0.9,4.3,0,4,342
22078,102,1,4,0,4,194
22080,54,1.1,3.2,1,3,63
22084,94,1,4.1,1,3,169
22088,115,0.9,4.5,0,4,765
22090,68,0.9,3.7,1,3,43
22093,153,0.2,4.1,1,4,184
22095,169,0.3,4.1,1,4,313
22097,182,0.5,4.5,0,4,323
22101,142,0.1,4.4,0,4,512
22104,110,0.6,4.3,0,4,340
22117,82,1.4,4,0,4,181
22118,82,1.7,4.1,1,4,359
22119,66,1.8,3.9,0,3,160
22120,169,0.8,4.1,0,4,303
22123,109,1.5,4.1,0,4,173
22125,104,0.7,3.4,1,3,114
22126,145,0.9,4.3,0,3.5,249
